B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,class
0.0366,0.0401,0.0836,0.0485,0.1237,0.3478,0.4064,0.4,0.4309,0.4046,0.2327,0.1075,agri1
0.0366,0.0395,0.0807,0.0466,0.1237,0.3478,0.4064,0.3958,0.4309,0.4046,0.2327,0.1075,agri1
0.0366,0.0379,0.0798,0.0432,0.1265,0.3522,0.4181,0.4028,0.4403,0.4046,0.2336,0.1076,agri1
0.0366,0.0404,0.0822,0.0451,0.1265,0.3522,0.4181,0.4144,0.4403,0.4046,0.2336,0.1076,agri1
0.034,0.0407,0.0832,0.0477,0.1272,0.3551,0.4142,0.4078,0.4438,0.4402,0.2374,0.1075,agri1
0.034,0.0393,0.0845,0.0477,0.1272,0.3551,0.4142,0.4104,0.4438,0.4402,0.2374,0.1075,agri1
0.034,0.0421,0.0858,0.047,0.1291,0.3638,0.4282,0.4256,0.4558,0.4402,0.2395,0.1089,agri1
0.034,0.0387,0.084,0.0482,0.1291,0.3638,0.4282,0.4324,0.4558,0.4402,0.2395,0.1089,agri1
0.034,0.0396,0.0864,0.0476,0.1312,0.3813,0.4511,0.4432,0.4808,0.4402,0.2408,0.109,agri1
0.0366,0.0408,0.0864,0.0497,0.1323,0.334,0.3879,0.4028,0.4151,0.4046,0.2299,0.1074,agri1
0.0366,0.037,0.0843,0.0471,0.1237,0.3478,0.4064,0.418,0.4309,0.4046,0.2327,0.1075,agri1
0.0366,0.0379,0.0844,0.0464,0.1237,0.3478,0.4064,0.4236,0.4309,0.4046,0.2327,0.1075,agri1
0.0366,0.0394,0.0845,0.044,0.1265,0.3522,0.4181,0.4268,0.4403,0.4046,0.2336,0.1076,agri1
0.0366,0.0418,0.0854,0.0463,0.1265,0.3522,0.4181,0.4208,0.4403,0.4046,0.2336,0.1076,agri1
0.034,0.0411,0.0865,0.0483,0.1272,0.3551,0.4142,0.4192,0.4438,0.4402,0.2374,0.1075,agri1
0.034,0.0374,0.0853,0.0466,0.1272,0.3551,0.4142,0.4244,0.4438,0.4402,0.2374,0.1075,agri1
0.034,0.0383,0.0844,0.0475,0.1291,0.3638,0.4282,0.4232,0.4558,0.4402,0.2395,0.1089,agri1
0.034,0.0399,0.0857,0.0479,0.1291,0.3638,0.4282,0.4304,0.4558,0.4402,0.2395,0.1089,agri1
0.034,0.0405,0.0871,0.0458,0.1312,0.3813,0.4511,0.45,0.4808,0.4402,0.2408,0.109,agri1
0.036,0.0381,0.0843,0.0492,0.133,0.3395,0.3994,0.4096,0.4229,0.4346,0.2336,0.108,agri1
0.036,0.0375,0.0843,0.045,0.1271,0.3569,0.4194,0.4224,0.4426,0.4346,0.2362,0.1085,agri1
0.036,0.0426,0.0865,0.0463,0.1271,0.3569,0.4194,0.4344,0.4426,0.4346,0.2362,0.1085,agri1
0.036,0.0393,0.0845,0.0467,0.1292,0.3635,0.4307,0.4356,0.4542,0.4346,0.2383,0.1072,agri1
0.036,0.0388,0.0839,0.0482,0.1292,0.3635,0.4307,0.422,0.4542,0.4346,0.2383,0.1072,agri1
0.0339,0.0377,0.0851,0.0461,0.1286,0.3682,0.4311,0.4284,0.4578,0.4687,0.2394,0.1071,agri1
